Partlist

Exported from schmatic.brd at 20/02/2023 10:19

EAGLE Version 9.6.2 Copyright (c) 1988-2020 Autodesk, Inc.

Assembly variant: 

Part     Value            Package          Library          Position (mm)         Orientation
PA12     TEST_POINT       TEST_POINT_1.5MM Tharindu         (9.23 28.57)          MR90
PB7      TEST_POINT       TEST_POINT_1.5MM Tharindu         (21.56 12.38)         MR0
PB8      TEST_POINT       TEST_POINT_1.5MM Tharindu         (23.44 12.41)         MR0
PB9      TEST_POINT       TEST_POINT_1.5MM Tharindu         (25.24 12.38)         MR0
PC13     TEST_POINT       TEST_POINT_1.5MM Tharindu         (31.93 15.55)         MR270
PC14     TEST_POINT       TEST_POINT_1.5MM Tharindu         (31.93 17.44)         MR0
PC15     TEST_POINT       TEST_POINT_1.5MM Tharindu         (31.93 19.3)          MR90
Q1       NX2520SA-32MHZ   NX2520SA         Tharindu         (27.74 74.51)         R270
Q2       XTAL             16MHZ_2-SMD      Tharindu         (32.57 23.4)          R270
R1       50               M(1608)_US(0603) Tharindu_lib     (19.24 56.99)         R270
R2       2                M(1608)_US(0603) Tharindu_lib     (37.24 56.05)         R0
R3       22k              M(1608)_US(0603) Tharindu_lib     (51.86 35.3)          R180
R4       22k              M(1608)_US(0603) Tharindu_lib     (62.88 40.7)          R270
R5       100k             M(1005)_US(0402) Tharindu_lib     (22.13 30.23)         R270
R6       100              M(1005)_US(0402) Tharindu_lib     (31.11 30.12)         R180
R7       100              M(1005)_US(0402) Tharindu_lib     (31.12 29.26)         R180
R8       316k             M(1608)_US(0603) Tharindu_lib     (80.47 28.74)         R0
R9       100k             M(1608)_US(0603) Tharindu_lib     (80.47 29.93)         R180
R10      820k             M(1608)_US(0603) Tharindu_lib     (58.33 27.82)         R180
R11      180k             M(1608)_US(0603) Tharindu_lib     (61.35 29.32)         R270
R12      15k              M(1608)_US(0603) Tharindu_lib     (58.3 26.64)          R0
R13      49.9k            M(1608)_US(0603) Tharindu_lib     (61.52 26.15)         R270
R14      332k             M(1608)_US(0603) Tharindu_lib     (62.03 19.8)          R0
R15      10k              M(1005)_US(0402) Tharindu_lib     (57.87 16.82)         R270
R16      100              M(1005)_US(0402) Tharindu_lib     (31.13 27.5)          R180
R17      100              M(1005)_US(0402) Tharindu_lib     (31.12 28.37)         R180
R18      1M               M(1608)_US(0603) Tharindu_lib     (29.95 23.4)          R270
R19      100k             M(1005)_US(0402) Tharindu_lib     (23.2 17.18)          R270
R20      10k              M(1005)_US(0402) Tharindu_lib     (22.66 15.77)         R0
R21      10k              M(1005)_US(0402) Tharindu_lib     (27.83 16.25)         R90
R22      10k              M(1005)_US(0402) Tharindu_lib     (79.73 32.97)         R180
R23      100K             M(1005)_US(0402) Tharindu_lib     (27.06 31.04)         R270
R24      100K             M(1005)_US(0402) Tharindu_lib     (26.25 31.04)         R270
R25      NS               M(2012)_US(0805) Tharindu_lib     (57.95 33.1)          R0
S1       SKY13446         SKY13446         Tharindu         (21.99 57.32)         R270
S2       SKY13446         SKY13446         Tharindu         (30.56 71.37)         R270
SCK2     TEST_POINT       TEST_POINT_1.5MM Tharindu         (9.33 34.58)          MR90
SV2                       MA03-2           con-lstb         (11.66 18.07)         R270
SV3                       ML14             con-ml           (59.65 51.26)         R180
SWCLK    TEST_POINT       TEST_POINT_1.5MM Tharindu         (17.8 23.99)          MR270
SWIO     TEST_POINT       TEST_POINT_1.5MM Tharindu         (15.97 23.99)         MR90
TP1      TEST_POINT       TEST_POINT_1.5MM Tharindu         (53.4 29.8)           R0
TP2      TEST_POINT       TEST_POINT_1.5MM Tharindu         (53.4 18.4)           R0
TP3      TEST_POINT       TEST_POINT_1.5MM Tharindu         (67.1 18.4)           R0
TP4      TEST_POINT       TEST_POINT_1.5MM Tharindu         (69.1 32.6)           R0
TP5      TEST_POINT       TEST_POINT_1.5MM Tharindu         (69.1 23.9)           R0
TP6      TEST_POINT       TEST_POINT_1.5MM Tharindu         (83.8 23.9)           R0
TP7      TEST_POINT       TEST_POINT_1.5MM Tharindu         (83.8 32.6)           R0
TP8      TEST_POINT       TEST_POINT_1.5MM Tharindu         (43.2 47.7)           R0
TP9      TEST_POINT       TEST_POINT_1.5MM Tharindu         (17.5 47.7)           R0
TP10     TEST_POINT       TEST_POINT_1.5MM Tharindu         (43.2 79.4)           R0
TP11     TEST_POINT       TEST_POINT_1.5MM Tharindu         (17.5 79.4)           R0
TP12     TEST_POINT       TEST_POINT_1.5MM Tharindu         (30.26 77.24)         R0
TP13     TEST_POINT       TEST_POINT_1.5MM Tharindu         (33.73 77.2)          R0
TP14     TEST_POINT       TEST_POINT_1.5MM Tharindu         (32.02 74.96)         R0
TP17     TEST_POINT       TEST_POINT_1.5MM Tharindu         (67.1 29.8)           R0
TR1      SI7997DP-T1-GE3  SI7997DP-T1-GE3  Tharindu         (60.37 39.41)         R180
TR2      SI7997DP-T1-GE3  SI7997DP-T1-GE3  Tharindu         (50.62 37.91)         R90
TR3      DTC144EKA        SOT346-R         BIRDS3_CAM_MSN   (65.08 38.33)         R90
TR4      DTC144EKA        SOT346-R         BIRDS3_CAM_MSN   (60.04 17.36)         R90
TR6      DTC144EKA        SOT346-R         BIRDS3_CAM_MSN   (48.83 34.27)         R270
U1       TPS61230ARNSR    IC_TPS61230ARNSR TPS61230ARNSR    (75.91 29.2)          R270
U2       LTC3536EDD       DFN-10_DD        LTC3536EDD_TRPBF (59.7378 22.59)       R180
VBAT     TEST_POINT       TEST_POINT_1.5MM Tharindu         (27.6 20.61)          MR0
